Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
87;Łęczyca-miasto;łódzkie;łęczycki;GM;Urząd Miasta Łęczyca;Łęczyca;99-100;Łęczyca;ul. Marii Konopnickiej;14;(24);721-03-42;;(24);721-03-01;Burmistrz;Andrzej;Olszewski;rbrygier@leczyca.info.pl;sekretariat@leczyca.info.pl;www.leczyca.info.pl
88;Łódź;łódzkie;Łodź;GM;Urząd Miasta Łódź;Łódź;90-004;Łódź;ul. Piotrkowska;104;(42);638-41-15;;(42);638-41-24;Prezydent;Hanna;Zdanowska;uml@uml.lodz.pl;uml@uml.lodz.pl;www.uml.lodz.pl
89;Łowicz-miasto;łódzkie;łowicki;GM;Urząd Miasta Łowicz;Łowicz;99-400;Łowicz;ul. Stary Rynek;1;(46);830-91-51;;(46);830-91-60;Burmistrz;Krzysztof Jan;Kaliński;sekretarz@um.lowicz.pl;umlowicz@um.lowicz.pl;www.lowicz.eu
90;Konstantynów Łódzki;łódzkie;pabianicki;GM;Urząd Miasta Konstantynów Łódzki;Konstantynów Łódzki;96-050;Konstantynów Łódzki;ul. Zgierska;2;(42);211-12-12;;(42);211-11-68;Burmistrz;Henryk;Brzyszcz;sekretarzmiasta@konstantynow.pl;sekretariat@konstantynow.pl;www.konstantynow.pl
91;Pabianice-miasto;łódzkie;pabianicki;GM;Urząd Miasta Pabianice;Pabianice;95-200;Pabianice;ul. Zamkowa;16;(42);225-46-00;;(42);225-46-69;Prezydent;Zbigniew;Dychto;prozga@um.pabianice.pl;poczta@um.pabianice.pl;www.um.pabianice.pl
92;Piotrków Trybunalski;łódzkie;piotrkowski;GM;Urząd Miasta Piotrków Trybunalski;Piotrków Trybunalski;97-300;Piotrków Trybunalski;Pasaż K. Rudowskiego;10;(44);732-77-33;;(44);732-77-35;Prezydent;Krzysztof;Chojniak;b.munik@piotrkow.pl;e-urzad@piotrkow.pl;www.piotrkow.pl
93;Radomsko-miasto;łódzkie;radomszczański;GM;Urząd Miasta Radomsko;Radomsko;97-500;Radomsko;ul. Tysiąclecia;5;(44);685-45-10;;(44);685-45-13;Prezydent;Anna;Milczanowska;sekretarz@radomsko.pl;um@radomsko.pl;www.radomsko.pl
94;Rawa Mazowiecka-miasto;łódzkie;rawski;GM;Urząd Miasta Rawa Mazowiecka;Rawa Mazowiecka;96-200;Rawa Mazowiecka;Pl. Marszałka J. Piłsudskiego;5;(46);814-47-11;;(46);814-43-23;Burmistrz;Eugeniusz;Góraj;um@rawamazowiecka.pl;um@rawamazowiecka.pl;www.rawamazowiecka.pl
95;Sieradz-miasto;łódzkie;sieradzki;GM;Urząd Miasta Sieradz;Sieradz;98-200;Sieradz;Plac Wojewódzki;1;(43);826-61-16;;(43);822-30-05;Prezydent;Jacek;Walczak;j.zienkiewicz@umsieradz.pl;um@umsieradz.pl;www.umsieradz.pl
96;Skierniewice-miasto;łódzkie;skierniewicki;GM;Urząd Miasta Skierniewice;Skierniewice;96-100;Skierniewice;ul. Rynek;1;(46);834-51-00;;(46);834-51-51;Prezydent;Leszek;Trębski;sekretarz@um.skierniewice.pl;sekretariat@um.skierniewice.pl;www.um.skierniewice.pl
97;Tomaszów Mazowiecki-miasto;łódzkie;tomaszowski;GM;Urząd Miasta Tomaszów Mazowiecki;Tomaszów Mazowiecki;97-200;Tomaszów Mazowiecki;ul. P.O.W.;10/16;(44);724-23-11;229;(44);724-08-32;Prezydent;Rafał;Zagozdon;krzysztof.janik@tomaszow-maz.pl;sekretariat@tomaszow-maz.pl;www.tomaszow-maz.pl
98;Zduńska Wola-miasto;łódzkie;zduńskowolski;GM;Urząd Miasta Zduńska Wola;Zduńska Wola;98-220;Zduńska Wola;ul. Stefana Złotnickiego;12;(43);823-33-32;;(43);823-26-05;Prezydent;Piotr;Niedźwiedzki;urzad_miasta@zdunskawola.pl;urzad_miasta@zdunskawola.pl;www.zdunskawola.pl
99;Głowno-miasto;łódzkie;zgierski;GM;Urząd Miasta Głowno;Głowno;95-015;Głowno;ul. Młynarska;15;(42);719-11-51;;(42);719-11-51;Burmistrz;Grzegorz;Janeczek;sekretariat_um@glowno.pl;sekretariat_um@glowno.pl;www.glowno.pl
100;Ozorków-miasto;łódzkie;zgierski;GM;Urząd Miasta Ozorków;Ozorków;95-035;Ozorków;ul. Wigury;1;(42);710-31-00;;(42);710-31-01;Burmistrz;Jacek;Socha;sekretariat@umozorkow.pl;sekretariat@umozorkow.pl;www.umozorkow.pl
101;Zgierz-miasto;łódzkie;zgierski;GM;Urząd Miasta Zgierz;Zgierz;95-100;Zgierz;ul. Stary Rynek;1;(42);716-28-54;;(42);716-30-16;Prezydent;Iwona Małgorzata;Wieczorek;e-urzad@umzgierz.pl;e-urzad@umzgierz.pl;www.zgierz.pl
Województwo małopolskie;;;;;;;;;;;;;;;;;;;;;
102; Bochnia;małopolskie;bocheński;GM;Urząd Miasta Bochnia;Bochnia;32-700;Bochnia;ul. Kazimierza Wielkiego;2;(14);611-84-00;;(14);611-83-99;Burmistrz;Stefan;Kolawiński;umb@um.bochnia.pl;umb@um.bochnia.pl;http://www.bochnia.pl/
103;Gorlice-miasto;małopolskie;gorlicki;GM;Urząd Miasta Gorlice;Gorlice;38-300;Gorlice;Rynek;2;(18);353-62-00;;(18);355-12-12;Burmistrz;Witold;Kochan;um@um.gorlice.pl;um@um.gorlice.pl;www.um.gorlice.pl
104;Kraków;małopolskie;krakowski;GM;Urząd Miasta Kraków;Kraków;31-004;Kraków;pl. Wszystkich Świętych; 3/4;(12);616-13-98;;(12);616-13-15;Prezydent;Jacek;Majchrowski;Pawel.Stanczyk@um.krakow.pl;umk@um.krakow.pl;www.um.krakow.pl
105;Limanowa-miasto;małopolskie;limanowski;GM;Urząd Miasta Limanowa;Limanowa;34-600;Limanowa;ul. Jana Pawła II;9;(18);337-20-54;;(18);377-10-41;Burmistrz;Władysław;Bieda;sekretariat@miasto.limanowa.pl;sekretariat@miasto.limanowa.pl;www.miasto.limanowa.pl
106;Mszana Dolna-miasto;małopolskie;limanowski;GM;Urząd Miasta Mszana Dolna;Mszana Dolna;34-730;Mszana Dolna;ul. Piłsudskiego;2;(18);331-06-22;212;(18);331-15-55;Burmistrz;Tadeusz;Filipiak;sekretarz@mszana-dolna.pl;miasto@mszana-dolna.pl;www.mszana-dolna.pl
107;Grybów-miasto;małopolskie;nowosądecki;GM;Urząd Miasta Grybów;Grybów;33-330;Grybów;Rynek ;12;(18);554-01-40;;(18);554-02-02;Burmistrz;Piotr;Piechnik;miasto@grybow.pl;miasto@grybow.pl;www.grybow.pl
108;Nowy Sącz;małopolskie;nowosądecki;GM;Urząd Miasta Nowy Sącz;Nowy Sącz;33-300;Nowy Sącz;Rynek;1;(18);448-65-00;;(18);443-78-63;Prezydent;Ryszard;Nowak;urzad@nowysacz.pl;urzad@nowysacz.pl;www.nowysacz.pl
109;Nowy Targ-miasto;małopolskie;nowotarski;GM;Urząd Miasta Nowy Targ;Nowy Targ;34-400;Nowy Targ;ul. Krzywa;1;(18);261-12-00;;(18);266-23-12;Burmistrz;Marek;Fryźlewicz;sekretarz@um.nowytarg.pl;sekretariat@um.nowytarg.pl;http://www.nowytarg.pl/
110;Bukowno;małopolskie;olkuski;GM;Urząd Miasta Bukowno;Bukowno;32-332;Bukowno;ul. Kolejowa;16;(32);626-18-20;;(32);642-15-44;Burmistrz;Mirosław;Gajdziszewski;Sekretarz@um.bukowno.pl;sekretariat@um.bukowno.pl;www.um.bukowno.pl
111;Oświęcim-miasto;małopolskie;oświęcimski;GM;Urząd Miasta Oświęcim;Oświęcim;32-600;Oświęcim;ul. Zaborska;2;(33);842-91-16;1116;(33);842-91-99;Prezydent;Jacek;Grosser;marta.pieczka@um.oswiecim.pl;um@um.oswiecim.pl;www.um.oswiecim.pl
112;Jordanów-miasto;małopolskie;suski;GM;Urząd Miasta Jordanów;Jordanów;34-240;Jordanów;ul. Rynek;1;(18);269-17-18;;(18);269-17-19;Burmistrz;Zbigniew;Kolecki;miasto@jordanow.pl;miasto@jordanow.pl;www.jordanow.pl
113;Sucha Beskidzka;małopolskie;suski;GM;Urząd Miasta Sucha Beskidzka;Sucha Beskidzka;34-200;Sucha Beskidzka;ul. Mickiewicza;19;(33);374-23-41;;(33);874-22-66;Burmistrz;Stanisław;Lichosyt;info@sucha-beskidzka.pl;info@sucha-beskidzka.pl;www.sucha-beskidzka.pl
114;Tarnów;małopolskie;tarnowski;GM;Urząd Miasta Tarnów;Tarnów;33-100;Tarnów;ul. Mickiewicza;2;(14);688-24-33;;(14);621-53-08;Prezydent;Ryszard;Ścigała;a.mizera@umt.tarnow.pl;umt@umt.tarnow.pl;http://www.tarnow.pl/
115;Zakopane;małopolskie;tatrzański;GM;Urząd Miasta Zakopane;Zakopane;34-500;Zakopane;ul. Kościuszki;13;(18);202-04-45;;(18);202-04-44;Burmistrz;Janusz;Majcher;office@um.zakopane.pl;office@um.zakopane.pl;www.um.zakopane.pl
116;Kalwaria Zebrzydowska;małopolskie;wadowicki;GM;Urząd Miasta Kalwaria Zabrzydowska;Kalwaria Zebrzydowska;34-130;Kalwaria Zebrzydowska;ul. Mickiewicza;7;(33);876-62-18;;(33);876-63-01;Burmistrz;Zbigniew;Stradomski;sekretariat@kalwaria-zebrzydowska.pl;sekretariat@kalwaria-zebrzydowska.pl;www.kalwaria-zebrzydowska.pl
117;Wadowice;małopolskie;wadowicki;GM;Urząd Miasta Wadowice;Wadowice;34-100;Wadowice;Plac Jana Pawła II;23;(33);873-18-11;;(33);873-18-15;Burmistrz;Ewa;Filipiak;um@wadowice.pl;um@wadowice.pl;www.wadowice.pl
Województwo mazowieckie;;;;;;;;;;;;;;;;;;;;;
118;Ciechanów-miasto;mazowieckie;ciechanowski;GM;Urząd Miasta Ciechanów;Gmina Ciechanów;06-400;Ciechanów;ul. Rynek;6;(23);674-92-70;;(23);672-29-63;Prezydent;Waldemar;Wardziński;um@ciechanow.pl;boi@umciechanow.pl;http://bip.umciechanow.pl/bip/portal?id=80742
119;Garwolin-miasto;mazowieckie;garwoliński;GM;Urząd Miasta Garwolin;Gmina Garwolin;08-410;Garwolin;ul. Staszica;15;(25);786-42-42;;(25);684-34-66;Burmistrz;Tadeusz;Mikulski;umg@garwolin.pl;umg@garwolin.pl;www.garwolin.pl
120;Łaskarzew-miasto;mazowieckie;garwoliński;GM;Urząd Miasta Łaskarzew;Gmina Łaskarzew;08-450;Łaskarzew;ul. Duży Rynek;32;(25);684-52-50;;(25);684-50-97;Burmistrz;Lidia;Sopel-Sereja;laskarzew_miasto@wp.pl;laskarzew_miasto@wp.pl;www.miasto.laskarzew.pl
121;Gostynin-miasto;mazowieckie;gostyniński;GM;Urząd Miasta Gostynin;Gmina Gostynin;09-500;Gostynin;ul. Rynek;26;(24);236-07-10;;(24);236-07-12;Burmistrz;Włodzimierz;Śniecikowski;um@gostynin.pl;um@gostynin.pl;www.gostynin.pl
122;Milanówek;mazowieckie;grodziski;GM;Urząd Miasta Milanówek;Gmina Milanówek;05-822;Milanówek;ul. Kościuszki;45;(22);758-30-61;217;(22);7583062 wew. 222;Burmistrz;Jerzy;Wysocki;sekretarz@milanowek.pl;miasto@milanowek.pl;www.milanowek.pl
123;Podkowa Leśna;mazowieckie;grodziski;GM;Urząd Miasta Podkowa Leśna;Gmina Podkowa Leśna;05-807;Podkowa Leśna;ul. Akacjowa;39/41;(22);759-21-01;;(22);758-90-03;Burmistrz;Małgorzata;Stępień-Przygoda;sekretarzmiasta@podkowalesna.pl;urzadmiasta@podkowalesna.pl;www.podkowalesna.pl
124;Warka;mazowieckie;grójecki;GM;Urząd Miasta Warka;Warka;05-660;Warka;Plac Stefana Czarnieckiego;1;(48);665-12-69;;(48);665-12-25;Burmistrz;Dariusz;Gizka;um@warka.org.pl;um@warka.org.pl;www.warka.org.pl
125;Legionowo;mazowieckie;legionowski;GM;Urząd Miasta Legionowo;Gmina Legionowo;05-120;Legionowo;ul. Marsz. Józefa Piłsudskiego;41;(22);774-20-31;;(22);774-02-32;Prezydent;Roman;Smogorzewski;kancelaria@um.legionowo.pl;kancelaria@um.legionowo.pl;http://www.legionowo.pl/pl/strona-glowna
126;Maków Mazowiecki;mazowieckie;makowski;GM;Urząd Miasta Maków Mazowiecki;Maków Mazowiecki;06-200;Maków Mazowiecki;ul. Moniuszki;6;(29);717-10-02;;(29);717-15-07;Burmistrz;Janusz;Jankowski;sekretarz@makowmazowiecki.pl;urzad@makowmazowiecki.pl;www.makowmazowiecki.pl
127;Mińsk Mazowiecki-miasto;mazowieckie;miński;GM;Urząd Miasta Mińsk Mazowiecki;Mińsk Mazowiecki;05-300;Mińsk Mazowiecki;ul. Konstytucji 3-go Maja;1;(25);759-53-11;;(25);758-40-25;Burmistrz;Marcin Tomasz;Jakubowski;umminsk@se.onet.pl;umminsk@se.onet.pl;www.minsk-maz.pl
128;Sulejówek;mazowieckie;miński;GM;Urząd Miasta Sulejówek;Sulejówek;05-070;Sulejówek;ul. Dworcowa;55;(22);760-62-30;;(22);760-62-13;Burmistrz;Arkadiusz;Śliwa;sekretariat@sulejowek.pl;sekretariat@sulejowek.pl;www.sulejowek.pl
129;Mława;mazowieckie;mławski;GM;Urząd Miasta Mława;Mława;06-500;Mława;ul. Stary Rynek;19;(23);654-33-82;;(23);654-36-52;Burmistrz;Sławomir;Kowalewski;sekretarz@mlawa.pl;info@mlawa.pl;http://www.mlawa.pl/
130;Nowy Dwór Mazowiecki;mazowieckie;nowodworski;GM;Urząd Miasta Nowy Dwór Mazowiecki;Nowy Dwór Mazowiecki;05-100;Nowy Dwór Mazowiecki;ul. Zakroczymska;30;(22);775-24-52;;(22);775-25-32;Burmistrz;Jacek;Kowalski;jacek.gereluk@nowydwormaz.pl;sekretariat@nowydwormaz.pl;www.nowydwormaz.pl
131;Ostrołęka;mazowieckie;ostrołęcki;GM;Urząd Miasta Ostrołęka;Ostrołęka;07-400;Ostrołęka;ul. Plac Bema;1;(29);764-68-21;200;(29);765-43-20;Prezydent;Janusz;Kotowski;um@um.ostroleka.pl;um@um.ostroleka.pl;www.um.ostroleka.pl
132;Ostrów Mazowiecka-miasto;mazowieckie;ostrowski;GM;Urząd Miasta Ostrów Mazowiecka;Ostrów Mazowiecka;07-300;Ostrów Mazowiecka;ul. 3 Maja;66;(29);644-07-56;;(29);644-07-60;Burmistrz;Władysław;Krzyżanowski;poczta@ostrowmaz.pl;poczta@ostrowmaz.pl;www.ostrowmaz.pl
133;Józefów;mazowieckie;otwocki;GM;Urząd Miasta Józefów;Józefów;05-420;Józefów;ul. Kardynała Wyszyńskiego;1;(22);779-00-25;;(22);789-51-02;Burmistrz;Stanisław;Kruczewski;um@jozefow.pl;um@jozefow.pl;www.jozefow.pl
134;Otwock;mazowieckie;otwocki;GM;Urząd Miasta Otwock;Otwock;05-400;Otwock;ul. Armii Krajowej;5;(22);779-27-92;;(22);779-42-25;Prezydent;Zbigniew;Szczepaniak;sekretarz@otwock.pl;um@otwocki.pl;www.otwock.pl
135;Płock;mazowieckie;płocki;GM;Urząd Miasta Płock;Płock;09-402;Płock;ul. Stary Rynek;1;(24);367-14-00;;(24);367-14-02;Prezydent;Andrzej;Nowakowski;prezydent@plock.eu;prezydent@plock.eu;www.plock.eu
136;Płońsk-miasto;mazowieckie;płoński;GM;Urząd Miasta Płońsk;Płońsk;09-100;Płońsk;ul. Płocka;39;(23);663-13-02;;(23);662-55-11;Burmistrz;Andrzej Józef;Pietrasik;plonsk@plonsk.pl;plonsk@plonsk.pl;www.plonsk.pl
137;Raciąż-miasto;mazowieckie;płoński;GM;Urząd Miasta Raciąż;Raciąż;09-140;Raciąż;Pl. A. Mickiewicza;17;(23);679-10-46;40;(23);679-10-28;Burmistrz;Janusz Kazimierz;Sadowski;sekretariat@miastoraciaz.pl;sekretariat@miastoraciaz.pl;www.miastoraciaz.pl
138;Piastów;mazowieckie;pruszkowski;GM;Urząd Miasta Piastów;Piastów;05-820;Piastów;ul. 11 Listopada;2;(22);723-64-97;;(22);723-66-00;Burmistrz;Marek;Kubicki;sekretarz@piastow.pl;umpiastow@piastow.pl;www.piastow.pl
139;Pruszków;mazowieckie;pruszkowski;GM;Urząd Miasta Pruszków;Pruszków;05-800;Pruszków;ul. Kraszewskiego;14/16;(22);758-62-43;;(22);758-66-50;Prezydent;Jan;Starzyński;prezydent@miasto.pruszkow.pl;prezydent@miasto.pruszkow.pl;www.miasto.pruszkow.pl
140;Przasnysz-miasto;mazowieckie;przasnyski;GM;Urząd Miasta Przasnysz;Przasnysz;06-300;Przasnysz;ul. J. Kilińskiego;2;(29);756-49-00;kom. 602398241;(29);756-49-39;Burmistrz;Waldemar Marek;Trochimiuk;umprzas@przasnysz.um.gov.pl;umprzas@przasnysz.um.gov.pl;www.przasnysz.um.gov.pl
141;Pułtusk;mazowieckie;pułtuski;GM;Urząd Miasta Pułtusk;Pułtusk;06-100;Pułtusk;ul. Rynek - Ratusz;41;(23);692-03-91;;(23);692-42-96;Burmistrz;Wojciech;Dębski;um@pultusk.pl;um@pultusk.pl;www.pultusk.pl
142;Iłża;mazowieckie;radomski;GM;Urząd Miasta Iłża;Iłża;27-100;Iłża;ul. Rynek;11;(48);341-22-06;;(48);616-33-00;Burmistrz;Andrzej;Moskwa;sekretarz@ilza.pl;ilza@ilza.pl;www.ilza.pl
143;Pionki-miasto;mazowieckie;radomski;GM;Urząd Miasta Pionki;Pionki;26-670;Pionki;Aleja Jana Pawła II;15;(48);341-42-01;;(48);341-42-04;Burmistrz;Marek;Janeczek;burmistrz@pionki.pl;burmistrz@pionki.pl;www.pionki.pl
144;Radom;mazowieckie;radomski;GM;Urząd Miasta Radom;Radom;26-600;Radom;ul. Jana Kilińskiego;30;(48);362-32-26;;(48);364-04-17;Prezydent;Andrzej;Kosztowniak;sekretarz@umradom.pl  ;prezydent@umradom.pl;www.radom.pl
145;Siedlce-miasto;mazowieckie;siedlecki;GM;Urząd Miasta Siedlce;Siedlce;08-110;Siedlce;Skwer Niepodległości;2;(25);643-07-00;;(25);644-67-49;Prezydent;Wojciech;Kudelski;slawomir.marchel@um.siedlce.pl ;info@um.siedlce.pl;http://www.siedlce.pl/
146;Sierpc-miasto;mazowieckie;sierpecki;GM;Urząd Miasta Sierpc;Sierpc;09-200;Sierpc;ul. Piastowska;11a;(24);275-86-86;;(24);275-86-33;Burmistrz;Marek Andrzej;Kośmider;info@sierpc.pl;info@sierpc.pl;www.sierpc.pl
147;Sochaczew-miasto;mazowieckie;sochaczewski;GM;Urząd Miasta Sochaczew;Sochaczew;96-500;Sochaczew;ul. 1go Maja;16;(46);862-27-30;;(46);862-26-02;Burmistrz;Piotr;Osiecki;sekretariat@sochaczew.pl;sekretariat@sochaczew.pl;www.sochaczew.pl
148;Sokołów Podlaski-miasto;mazowieckie;sokołowski;GM;Urząd Miasta Sokołów Podlaski;Sokołów Podlaski;08-300;Sokołów Podlaski;ul. Wolności;21;(25);781-75-10;;(25);781-75-10;Burmistrz;Bogusław Jan;Karakula;um@sokolowpodl.pl;um@sokolowpodl.pl;www.sokolowpodl.pl
149;Warszawa;mazowieckie;Warszawa;GM;Urząd Miasta Warszawa;Warszawa;02-133;Warszawa;ul. Krakowska;257;(22);595-31-22;;(22);695-65-65;Prezydent;Hanna;Gronkiewicz-Waltz;sekretarzmiasta@um.warszawa.pl;urzad@um.warszawa.pl;www.um.warszawa.pl
150;Węgrów;mazowieckie;węgrowski;GM;Urząd Miasta Węgrów;Węgrów;07-100;Węgrów;ul. Rynek Mariacki;16;(25);792-23-26;;(25);792-25-23;Burmistrz;Jarosław;Grenda;urzad.miejski@wegrow.com.pl;urzad.miejski@wegrow.com.pl;www.wegrow.com.pl
151;Kobyłka;mazowieckie;wołomiński;GM;Urząd Miasta Kobyłka;Kobyłka;05-230;Kobyłka;ul. Wołomińska;1;(22);786-33-28;;(22);786-31-11;Burmistrz;Robert;Roguski;sekretarz@kobylka.pl;urzad@kobylka.pl;www.kobylka.pl
152;Marki;mazowieckie;wołomiński;GM;Urząd Miasta Marki;Marki;05-270;Marki;Aleja Marszałka Józefa Piłsudskiego;95;(22);781-10-03;;(22);490-67-44;Burmistrz;Janusz;Werczyński;sekretarz@marki.pl;urzad.miasta@marki.pl;www.marki.pl
153;Ząbki;mazowieckie;wołomiński;GM;Urząd Miasta Ząbki;Ząbki;05-091;Ząbki;ul. Wojska Polskiego;10;(22);510-97-02;;(22);510-98-88;Burmistrz;Robert;Perkowski;sekretarz@zabki.pl;um@zabki.pl;www.zabki.pl
154;Zielonka;mazowieckie;wołomiński;GM;Urząd Miasta Zielonka;Zielonka;05-220;Zielonka;ul. Lipowa;5;(22);761-39-13;;(22);781-99-89;Burmistrz;Grzegorz;Dudzik;um@zielonka.pl;um@zielonka.pl;www.zielonka.pl
155;Żyrardów;mazowieckie;żyrardowski;GM;Urząd Miasta Żyrardów;Żyrardów;96-300;Żyrardów;Plac Jana Pawła II;1;(46);855-37-82;;(46);858-15-11;Prezydent;Andrzej;Wilk;sekretarz@zyrardow.pl;urzad@zyrardow.pl;www.zyrardow.pl
Województwo opolskie;;;;;;;;;;;;;;;;;;;;;
156;Brzeg;opolskie;brzeski;GM;Urząd Miasta Brzeg;Brzeg;49-300;Brzeg;ul. Robotnicza;12;(77);416-99-50;;(77);416-99-52;Burmistrz;Wojciech;Huczyński;sekretarz@brzeg.pl;um@brzeg.pl;www.brzeg.pl
157;Kędzierzyn-Koźle;opolskie;kędzierzyńsko-kozielski;GM;Urząd Miasta Kędzierzyn-Koźle;Kędzierzyn-Koźle;47-200;Kędzierzyn-Koźle;ul. Piramowicza;32;(77);405-03-38;;(77);482-24-39;Prezydent;Tomasz;Wantuła;sekretarz@kedzierzynkozle.pl;or@kedzierzynkozle.pl;www.kedzierzynkozle.pl
158;Namysłów;opolskie;namysłowski;GM;Urząd Miasta Namysłów;Namysłów;46-100;Namysłów;ul. Stanisława Dubois;3;(77);419-03-04;;(77);410-03-34;Burmistrz;Krzysztof;Kuchczyński;sekretariat@namyslow.eu;urzad.miejski@namyslow.eu;www.namyslow.eu
159;Opole;opolskie;opolski;GM;Urząd Miasta Opole;Opole;45-015;Opole;ul. Parkowa;28;(77);451-18-02;;(77);541-13-22;Prezydent;Ryszard;Zembaczyński;Jolanta.Cisek@um.opole.pl;urzad@um.opole.pl;www.opole.pl
Województwo podkarpackie;;;;;;;;;;;;;;;;;;;;;
160;Dębica-miasto;podkarpackie;dębicki;GM;Urząd Miasta Dębica;Dębica;39-200;Dębica;ul. Ratuszowa;2;(14);683-81-00;;(14);683-81-61;Burmistrz;Paweł;Wolicki;umdebica@um.debica.pl;umdebica@um.debica.pl;www.um.debica.pl
161;Jarosław-miasto;podkarpackie;jarosławski;GM;Urząd Miasta Jarosław;Jarosław;37-500;Jarosław;Rynek;1;(16);624-87-02;;(16);627-87-00;Burmistrz;Andrzej;Wyczawski;sekretarz@jaroslaw.pl ;um@jaroslaw.pl;www.jaroslaw.pl
162;Radymno-miasto;podkarpackie;jarosławski;GM;Urząd Miasta Radymno;Radymno;37-550;Radymno;ul. Lwowska;20;(16);628-15-89;;(16);628-24-17;Burmistrz;Wiesław;Pirożek;radymno@radymno.pl;radymno@radymno.pl;www.radymno.pl
163;Jasło-miasto;podkarpackie;jasielski;GM;Urząd Miasta Jasło;Jasło;38-200;Jasło;ul. Rynek;12;(13);448-63-11;;(13);446-29-76;Burmistrz;Andrzej;Czernecki;sekretarz@um.jaslo.pl;urzad@um.jaslo.pl;http://www.jaslo.pl/
164;Krosno;podkarpackie;krośnieński;GM;Urząd Miasta Krosno;Krosno;38-400;Krosno;ul. Lwowska;28a;(13);436-75-43;;(13);436-28-65;Prezydent;Piotr;Przytocki;um@um.krosno.pl;um@um.krosno.pl;http://www.krosno.pl/
165;Leżajsk-miasto;podkarpackie;leżajski;GM;Urząd Miasta Leżajsk;Leżajsk;37-300;Leżajsk;Rynek;1;(17);242-73-33;;(17);242-73-33;Burmistrz;Piotr;Urban;uml@lezajsk.um.gov.pl;uml@lezajsk.um.gov.pl;http://umlezajsk.cms.zetorzeszow.eu/
166;Lubaczów-miasto;podkarpackie;lubaczowski;GM;Urząd Miasta Lubaczów;Lubaczów;37-600;Lubaczów;ul. Rynek;26;(16);632-80-10;31;(16);632-15-77;Burmistrz;Maria;Magoń;urzad@um.lubaczow.pl;urzad@um.lubaczow.pl;www.um.lubaczow.pl
167;Łańcut-miasto;podkarpackie;łańcucki;GM;Urząd Miasta Łańcut;Łańcut;37-100;Łańcut;Plac Sobieskiego;18;(17);225-22-00;;(17);225-20-21;Burmistrz;Stanisław;Gwizdak;sekretarz@um-lancut.pl;urzad@um-lancut.pl;www.um-lancut.pl
168;Mielec-miasto;podkarpackie;mielecki;GM;Urząd Miasta Mielec;Mielec;39-300;Mielec;ul. Żeromskiego;26;(17);788-85-01;;(17);788-85-05;Prezydent;Janusz;Chodorowski;sekretarz@um.mielec.pl;sekretariat@um.mielec.pl;http://www.mielec.pl/
169;Przemyśl;podkarpackie;przemyski;GM;Urząd Miasta  Przemyśl;Przemyśl;37-700;Przemyśl;Rynek;1;(16);678-68-20;311;(16);678-64-49;Prezydent;Robert;Choma;kancelaria@um.przemysl.pl;kancelaria@um.przemysl.pl;http://www.przemysl.pl/
170;Przeworsk-miasto;podkarpackie;przeworski;GM;Urząd Miasta Przeworsk;Przeworsk;37-200;Przeworsk;ul. Jagiellońska;10;(16);648-78-44;;(16);648-70-30;Burmistrz;Maria;Dubrawska-Lichtarska;info@przeworsk.um.gov.pl;info@przeworsk.um.gov.pl;www.przeworsk.um.gov.pl
171;Dynów-miasto;podkarpackie;rzeszowski;GM;Urząd Miasta Dynów;Dynów;36-065;Dynów;ul. Rynek;2;(16);652-10-93;;(16);652-11-13;Burmistrz;Zygmunt;Frańczak;sekretarz@dynow.pl;urzad_miasta@dynow.pl;www.dynow.pl
172;Rzeszów;podkarpackie;rzeszowski;GM;Urząd Miasta Rzeszów;Rzeszów;35-064;Rzeszów;Rynek;1;(17);875-41-00;;(17);875-41-05;Prezydent;Tadeusz;Ferenc;m.stopa@erzeszow.pl;umrz@erzeszow.pl;www.erzeszow.pl
173;Sanok-miasto;podkarpackie;sanocki;GM;Urząd Miasta Sanok;Sanok;38-500;Sanok;ul. Rynek;1;(13);465-28-01;;(13);463-08-90;Burmistrz;Wojciech;Blecharczyk;sekretarz@um.sanok.pl;umsanok@um.sanok.pl;www.um.sanok.pl
174;Stalowa Wola;podkarpackie;stalowowolski;GM;Urząd Miasta Stalowa Wola;Stalowa Wola;37-450;Stalowa Wola;ul. Wolności;7;(15);643-35-66;;(15);643-34-12;Prezydent;Andrzej;Ślęzak;um@stalowawola.pl;um@stalowawola.pl;www.stalowawola.pl
175;Tarnobrzeg;podkarpackie;tarnobrzeski;GM;Urząd Miasta Tarnobrzeg;Tarnobrzeg;39-400;Tarnobrzeg;ul. Kościuszki;32;(15);822-11-49;;(15);822-25-04;Prezydent;Norbert;Mastalerz;um@um.tarnobrzeg.pl;um@um.tarnobrzeg.pl;www.um.tarnobrzeg.pl
Województwo podlaskie;;;;;;;;;;;;;;;;;;;;;
176;Augustów-miasto;podlaskie;augustowski;GM;Urząd Miasta Augustów;Augustów;16-300;Augustów;ul. 3 Maja;60;(87);643-42-10;;(87);643-42-11;Burmistrz;Kazimierz;Kożuchowski;Aldona.Samel@urzad.augustow.pl ;urzad.miasta@urzad.augustow.pl;www.urzad.augustow.pl
